#,What was the purpose of your trip when you used handy?,rate,Unlimited data/internet browsing,Speed of internet connection,Unlimited international calls,Unlimited local calls,Direct dial to hotel reception,Newsfeed,LUXOS City Guide,Discounted deals/tickets,Battery life,Is there any feature you would like handy to add or improve?,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,Foodie,Local Explorer,Night Owl,Other,Are you a planner or a spontaneous traveler?,Would you likely pick a hotel that has handy in the future?,Would you likely recommend handy to a friend of colleague?,survey,Start Date (UTC),Submit Date (UTC),Network ID
063e8b8efcb11debb21f79d356ce4041,Leisure,4,4,5,1,1,1,5,5,4,1,You should add facebook messenger. We found difficult on downloading it. So you should put it there.,Adventure Junky,,,,Foodie,,,,I like to plan everything before the trip,1,10,5b4c55ab-559a-11e7-a7f1-c05627b0f912,2017-06-21 03:11:28,2017-06-21 03:14:02,26d9e9d2ac
95d7cc9e7eba6b01fa547356729a983d,Leisure,5,5,5,4,4,5,5,3,5,3,,Adventure Junky,Culture Lover,,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,10,6f955626-559a-11e7-98d9-c05627b0f912,2017-06-21 03:11:50,2017-06-21 03:14:09,13032d9ca9
a0847fcc7e4547e9661701c8eb16f684,Business,4,5,5,3,3,3,2,4,4,4,
,,,,,Foodie,,,,I like to plan everything before the trip,1,10,53b32385-559a-11e7-95b7-c05627b0f912,2017-06-21 03:11:17,2017-06-21 03:14:12,0f56e94032
2d336677db3e3a565ba626aa303b4047,Leisure,5,4,1,1,5,5,1,3,3,4,,,Culture Lover,,,,,,,I would like to ask for suggestions,1,10,5d7e1680-559a-11e7-9b08-c05627b0f912,2017-06-21 03:12:41,2017-06-21 03:14:15,5d6576ebd5
15a57c93a267db6ec53fb11a4c11fdbf,Leisure,4,5,4,5,5,5,4,4,4,5,,Adventure Junky,,,,Foodie,Local Explorer,,,I would like to ask for suggestions,1,10,7c070682-559a-11e7-9f98-c05627b0f912,2017-06-21 03:13:07,2017-06-21 03:14:16,feb2011070
691a78d6c35b0999eb28f6883164887d,Leisure,4,5,5,1,1,4,4,4,4,4,Please add the information about halal food restaurant in Spore city,,,Fashionista,,Foodie,,,,I like to plan everything before the trip,1,10,7e036b80-559a-11e7-95a9-c05627b0f912,2017-06-21 03:11:45,2017-06-21 03:14:22,b16a411891
ab308bb687fe18a54a35b87fb7521ebc,Leisure,4,4,4,5,5,3,3,4,4,4,A Forex app would be useful,,Culture Lover,,,,Local Explorer,,,I just go with the flow,1,8,51a0af11-559a-11e7-ad48-c05627b0f912,2017-06-21 03:07:14,2017-06-21 03:14:25,0f4c5f0f93
c1d1c63a4685053354a86d086ac2b735,Leisure,5,5,5,5,5,5,4,4,3,5,,,Culture Lover,,,,Local Explorer,,,I like to plan everything before the trip,1,10,76c8acd7-559a-11e7-94df-c05627b0f912,2017-06-21 03:13:01,2017-06-21 03:14:27,10f9ca94ff
159499aded08fb093bc174a66fc06bf5,Business,5,5,5,5,5,5,5,5,1,5,,,,Fashionista,,,,,,I like to plan everything before the trip,1,10,6c4cff28-559a-11e7-9db7-c05627b0f912,2017-06-21 03:13:30,2017-06-21 03:14:28,2a8dc44353
4fec60c4246046839b5628189c11c13a,Leisure,4,4,4,4,4,1,1,1,1,5,It Is nice,,,,,,,,Relaxing,I just go with the flow,1,10,6bc968de-559a-11e7-b1a8-c05627b0f912,2017-06-21 03:10:23,2017-06-21 03:14:31,48183030c1
221eefa3f743db777db445ce02cc0281,Leisure,5,5,5,5,5,5,5,5,2,5,No,,Culture Lover,,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,10,789a924a-559a-11e7-b1aa-c05627b0f912,2017-06-21 03:12:55,2017-06-21 03:14:33,2601:2c3:8
